names,topic,count
Cruz,religion,0.002327654
Cruz,china,0.000600098
Cruz,economy,0.000891055
Cruz,healthcare,0.003127785
Cruz,gun control,0.00663745
Cruz,race,0.003746068
Cruz,climate change,0.002527686
Cruz,immigration,0.019475914
Cruz,military,0.007874016
Cruz,trade,0.013520394
Trump,religion,0.001939566
Trump,china,0.002668604
Trump,economy,0.002154469
Trump,healthcare,0.003212661
Trump,gun control,0.003193619
Trump,race,0.024319384
Trump,climate change,0.000704555
Trump,immigration,0.01308731
Trump,military,0.002970556
Trump,trade,0.012015517
