word,polarity
economy,economy
growth,economy
jobs,economy
gdp,economy
unemployment,economy
immigration,immigration
refuges,immigration
syria,immigration
border,immigration
wall,immigration
hospital,health_care
healthcare,health_care
cancer,health_care
obamacare,health_care
health,health_care
military,military
defence,military
army,military
iraq,military
syria,military
gun,gun_control
nra,gun_control
shooting,gun_control
amendment,gun_control
safety,gun_control
china,china
beijing,china
debt,china
pollution,china
innovation,china
tpp,trade
trade,trade
agreement,trade
partnership,trade
free,trade
black,race
race,race
blacklivesmatter,race
police,race
hispanic,race
climate,climate_change
environment,climate_change
warming,climate_change
melting,climate_change
science,climate_change
islam,religion
christianity,religion
atheism,religion
church,religion
religion,religion
